path	decision	reason	lineage
[].Morphology.pigmentation.[].production	include	categorical	[].Morphology.pigmentation.[]
[].Name and taxonomic classification.type strain	include	categorical	[].Name and taxonomic classification
[].Name and taxonomic classification.domain	include	categorical	[].Name and taxonomic classification
[].Name and taxonomic classification.LPSN.@ref	exclude	numeric-dominated	[].Name and taxonomic classification.LPSN
[].Name and taxonomic classification.LPSN.domain	include	categorical	[].Name and taxonomic classification.LPSN
[].Name and taxonomic classification.LPSN.description	include	categorical	[].Name and taxonomic classification.LPSN
[].Name and taxonomic classification.LPSN.synonyms.@ref	exclude	numeric-dominated	[].Name and taxonomic classification.LPSN.synonyms
[].Physiology and metabolism.API 20A.XYL	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.URE	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.TRE	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.SOR	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.SAL	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.SAC	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.RHA	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.RAF	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.MNE	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.MLZ	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.MAN	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.MAL	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.LAC	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.GLY	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.GLU	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.GEL	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.CEL	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.ARA	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.ESC	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.IND	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.CAT	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.GRAM	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.SPOR	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.COCC	include	categorical	[].Physiology and metabolism.API 20A
[].Physiology and metabolism.API 20A.[].XYL	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].URE	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].TRE	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].SOR	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].SAL	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].SAC	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].RHA	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].RAF	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].MNE	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].MLZ	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].MAN	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].MAL	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].LAC	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].GLY	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].GLU	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].GEL	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].CEL	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].ARA	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].ESC	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].IND	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].CAT	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].COCC	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].GRAM	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20A.[].SPOR	include	categorical	[].Physiology and metabolism.API 20A.[]
[].Physiology and metabolism.API 20E.URE	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.H2S	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.ODC	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.CIT	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.TDA Trp	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.ONPG	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.LDC Lys	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.IND	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.ADH Arg	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.GEL	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.VP	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.GLU	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.SAC	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.MEL	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.Sor	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.RHA	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.INO	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.MAN	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.ARA	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.AMY	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.OX	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.NO2	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.N2	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.MAC	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.OF-O	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.OF-F	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.MOB	include	categorical	[].Physiology and metabolism.API 20E
[].Physiology and metabolism.API 20E.[].ONPG	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].URE	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].ODC	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].LDC Lys	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].H2S	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].GEL	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].CIT	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].ADH Arg	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].VP	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].TDA Trp	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].IND	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].GLU	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].Sor	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].RHA	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].MAN	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].INO	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].ARA	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].AMY	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].SAC	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].MEL	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].OX	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].NO2	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].N2	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].MAC	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].OF-O	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20E.[].OF-F	include	categorical	[].Physiology and metabolism.API 20E.[]
[].Physiology and metabolism.API 20NE.URE	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.PAC	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.NAG	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.MNE	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.MLT	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.MAN	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.MAL	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.GNT	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.GLU_ Ferm	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.GEL	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.ESC	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.CIT	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.CAP	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.ARA	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.ADI	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.ADH Arg	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.PNPG	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.TRP	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.GLU_ Assim	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.NO3	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.OX	include	categorical	[].Physiology and metabolism.API 20NE
[].Physiology and metabolism.API 20NE.[].PAC	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].MNE	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].MLT	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].GNT	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].GLU_ Ferm	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].GLU_ Assim	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].GEL	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].ESC	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].CIT	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].CAP	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].ARA	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].ADI	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].URE	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].TRP	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].PNPG	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].NAG	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].MAN	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].MAL	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].NO3	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].ADH Arg	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20NE.[].OX	include	categorical	[].Physiology and metabolism.API 20NE.[]
[].Physiology and metabolism.API 20STR.VP	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.TRE	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.SOR	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.RIB	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.RAF	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.PYRA	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.PAL	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.MAN	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.LAP	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.LAC	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.INU	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.HIP	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.GLYG	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.ESC	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.beta GUR	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.beta GAL	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.ARA	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.AMD	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.alpha GAL	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.ADH	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.beta HEM	include	categorical	[].Physiology and metabolism.API 20STR
[].Physiology and metabolism.API 20STR.[].VP	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].TRE	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].SOR	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].RIB	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].RAF	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].PYRA	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].PAL	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].MAN	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].LAP	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].LAC	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].INU	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].HIP	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].GLYG	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].ESC	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].beta GUR	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].beta GAL	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].ARA	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].AMD	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].alpha GAL	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].ADH	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 20STR.[].beta HEM	include	categorical	[].Physiology and metabolism.API 20STR.[]
[].Physiology and metabolism.API 50CHac.XLT	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.TUR	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.TRE	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.TAG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.SOR	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.SBE	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.SAL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.RHA	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.RAF	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.NAG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MNE	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MLZ	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MEL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MDX	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MDM	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MDG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MAN	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.MAL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LYX	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LXYL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LFUC	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LARL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LARA	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.LAC	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.INU	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.INO	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GNT	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GLYG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GLY	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GLU	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GAL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.FRU	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.ESC	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.ERY	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.DXYL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.DUL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.DFUC	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.DARL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.DARA	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.CEL	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.ARB	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.AMY	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.AMD	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.ADO	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.2KG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.SAC	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.RIB	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.GEN	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.5KG	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.Q	include	categorical	[].Physiology and metabolism.API 50CHac
[].Physiology and metabolism.API 50CHac.[].XLT	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].TUR	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].TRE	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].TAG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].SOR	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].SBE	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].SAL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].SAC	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].RIB	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].RHA	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].RAF	include	categorical	[].Physiology and metabolism.API 50CHac.[]
