path	value
[].Isolation, sampling and environmental information.isolation.[].continent	Europe
[].Safety information.risk assessment.biosafety level	3**
[].Safety information.risk assessment.biosafety level	L1
[].Safety information.risk assessment.biosafety level	3
[].Safety information.risk assessment.biosafety level	2
[].Safety information.risk assessment.biosafety level	1
[].Safety information.risk assessment.biosafety level comment	Risk group (French classification)
[].Safety information.risk assessment.biosafety level comment	Risk group (German classification)
[].Safety information.risk assessment.biosafety level comment	German classification
[].Safety information.risk assessment.biosafety level comment	Risk group
[].Name and taxonomic classification.LPSN.synonyms.@ref	20215
[].Physiology and metabolism.metabolite production.[].production	no
[].Physiology and metabolism.metabolite production.[].production	yes
[].Sequence information.16S sequences.database	ena
[].Sequence information.16S sequences.database	nuccore
[].Sequence information.16S sequences.[].database	nuccore
[].Sequence information.16S sequences.[].database	ena
[].Culture and growth conditions.culture medium.growth	yes
[].Culture and growth conditions.culture medium.growth	no
[].Physiology and metabolism.halophily.[].tested relation	optimum
[].Physiology and metabolism.halophily.[].tested relation	minimum
[].Physiology and metabolism.halophily.[].tested relation	other
[].Physiology and metabolism.halophily.[].tested relation	maximum
[].Physiology and metabolism.halophily.[].tested relation	resistant
[].Physiology and metabolism.halophily.[].tested relation	growth
[].Physiology and metabolism.halophily.[].salt	Marine salts
[].Physiology and metabolism.halophily.[].salt	MgCl2x6H2O
[].Physiology and metabolism.halophily.[].salt	Na+
[].Physiology and metabolism.halophily.[].salt	NaCl
[].Physiology and metabolism.halophily.[].salt	Sea Salts (S9883)
[].Physiology and metabolism.halophily.[].salt	MgSO4x7H2O
[].Physiology and metabolism.halophily.[].salt	Na2SO4
[].Physiology and metabolism.halophily.[].salt	KCl
[].Physiology and metabolism.halophily.[].salt	MgCl2
[].Physiology and metabolism.halophily.[].salt	Chromium (Cr6+)
[].Physiology and metabolism.halophily.[].salt	NaCL
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	obligate aerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	anaerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	microaerophile
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	facultative anaerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	facultative aerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	obligate anaerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	aerobe
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	aerotolerant
[].Physiology and metabolism.oxygen tolerance.oxygen tolerance	microaerotolerant
[].Physiology and metabolism.halophily.[].growth	no
[].Physiology and metabolism.halophily.[].growth	positive
[].Physiology and metabolism.halophily.[].growth	inconsistent
[].Physiology and metabolism.metabolite tests.[].metabolite	acetoin
[].Physiology and metabolism.metabolite tests.[].metabolite	hydrogen sulfide
[].Physiology and metabolism.metabolite tests.[].metabolite	indole
[].Physiology and metabolism.metabolite tests.[].metabolite	gelatin
[].Physiology and metabolism.metabolite tests.[].metabolite	nitrate
[].Physiology and metabolism.metabolite tests.[].metabolite	glucose
[].Physiology and metabolism.metabolite tests.[].metabolite	tryptophan
[].Physiology and metabolism.metabolite tests.[].metabolite	citrate
[].Physiology and metabolism.metabolite tests.[].metabolite	dna
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	35581
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	27897
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	15688
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	16991
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	16947
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	17234
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	17632
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	16136
[].Physiology and metabolism.metabolite tests.[].Chebi-ID	5291
[].Physiology and metabolism.metabolite production.production	no
[].Physiology and metabolism.metabolite production.production	yes
[].Isolation, sampling and environmental information.taxonmaps.@ref	69479
[].Morphology.cell morphology.gram stain	variable
[].Morphology.cell morphology.gram stain	negative
[].Morphology.cell morphology.gram stain	positive
[].Physiology and metabolism.metabolite tests.metabolite	acetoin
[].Physiology and metabolism.metabolite tests.metabolite	hydrogen sulfide
[].Physiology and metabolism.metabolite tests.metabolite	glucose
[].Physiology and metabolism.metabolite tests.metabolite	indole
[].Physiology and metabolism.metabolite tests.metabolite	citrate
[].Physiology and metabolism.metabolite tests.metabolite	gelatin
[].Physiology and metabolism.metabolite tests.metabolite	nitrate
[].Physiology and metabolism.metabolite tests.Chebi-ID	16947
[].Physiology and metabolism.metabolite tests.Chebi-ID	17234
[].Physiology and metabolism.metabolite tests.Chebi-ID	17632
[].Physiology and metabolism.metabolite tests.Chebi-ID	16136
[].Physiology and metabolism.metabolite tests.Chebi-ID	5291
[].Physiology and metabolism.metabolite tests.Chebi-ID	35581
[].Physiology and metabolism.metabolite tests.Chebi-ID	15688
[].Culture and growth conditions.culture pH.[].type	optimum
[].Culture and growth conditions.culture pH.[].type	minimum
[].Culture and growth conditions.culture pH.[].type	maximum
[].Culture and growth conditions.culture pH.[].type	growth
[].Culture and growth conditions.culture pH.[].ability	inconsistent
[].Culture and growth conditions.culture pH.[].ability	no
[].Culture and growth conditions.culture pH.[].ability	positive
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Condition
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Climate
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Environmental
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Host Body-Site
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Engineered
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Infection
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Host
[].Isolation, sampling and environmental information.isolation source categories.Cat1	#Host Body Product
[].Morphology.cell morphology.motility	no
[].Morphology.cell morphology.motility	yes
[].Physiology and metabolism.API zym.Lipase	+/-
[].Physiology and metabolism.API zym.Lipase	+
[].Physiology and metabolism.API zym.Lipase	-
[].Physiology and metabolism.API zym.Trypsin	+/-
[].Physiology and metabolism.API zym.Trypsin	-
[].Physiology and metabolism.API zym.Trypsin	+
[].Physiology and metabolism.API zym.N-acetyl-beta- glucosaminidase	+/-
[].Physiology and metabolism.API zym.N-acetyl-beta- glucosaminidase	-
[].Physiology and metabolism.API zym.N-acetyl-beta- glucosaminidase	+
[].Physiology and metabolism.API zym.Esterase	+/-
[].Physiology and metabolism.API zym.Esterase	-
[].Physiology and metabolism.API zym.Esterase	+
[].Physiology and metabolism.API zym.Cystine arylamidase	+/-
[].Physiology and metabolism.API zym.Cystine arylamidase	-
[].Physiology and metabolism.API zym.Cystine arylamidase	+
[].Physiology and metabolism.API zym.Alkaline phosphatase	+/-
[].Physiology and metabolism.API zym.Alkaline phosphatase	+
[].Physiology and metabolism.API zym.Alkaline phosphatase	-
[].Physiology and metabolism.API zym.Acid phosphatase	-
[].Physiology and metabolism.API zym.Acid phosphatase	+/-
[].Physiology and metabolism.API zym.Acid phosphatase	+
[].Physiology and metabolism.API zym.Valine arylamidase	+/-
[].Physiology and metabolism.API zym.Valine arylamidase	-
[].Physiology and metabolism.API zym.Valine arylamidase	+
[].Physiology and metabolism.API zym.Esterase Lipase	+/-
[].Physiology and metabolism.API zym.Esterase Lipase	-
[].Physiology and metabolism.API zym.Esterase Lipase	+
[].Physiology and metabolism.API zym.beta- Glucuronidase	+/-
[].Physiology and metabolism.API zym.beta- Glucuronidase	-
[].Physiology and metabolism.API zym.beta- Glucuronidase	+
[].Physiology and metabolism.API zym.beta- Glucosidase	+
[].Physiology and metabolism.API zym.beta- Glucosidase	+/-
[].Physiology and metabolism.API zym.beta- Glucosidase	-
[].Physiology and metabolism.API zym.alpha- Mannosidase	+
[].Physiology and metabolism.API zym.alpha- Mannosidase	+/-
[].Physiology and metabolism.API zym.alpha- Mannosidase	-
[].Physiology and metabolism.API zym.alpha- Glucosidase	+
[].Physiology and metabolism.API zym.alpha- Glucosidase	+/-
[].Physiology and metabolism.API zym.alpha- Glucosidase	-
[].Physiology and metabolism.API zym.alpha- Chymotrypsin	+/-
[].Physiology and metabolism.API zym.alpha- Chymotrypsin	+
[].Physiology and metabolism.API zym.alpha- Chymotrypsin	-
[].Physiology and metabolism.API zym.Naphthol-AS-BI-phosphohydrolase	-
[].Physiology and metabolism.API zym.Naphthol-AS-BI-phosphohydrolase	+
[].Physiology and metabolism.API zym.Naphthol-AS-BI-phosphohydrolase	+/-
[].Physiology and metabolism.API zym.Leucine arylamidase	+/-
[].Physiology and metabolism.API zym.Leucine arylamidase	+
[].Physiology and metabolism.API zym.Leucine arylamidase	-
[].Physiology and metabolism.API zym.beta- Galactosidase	-
[].Physiology and metabolism.API zym.beta- Galactosidase	+/-
[].Physiology and metabolism.API zym.beta- Galactosidase	+
[].Physiology and metabolism.API zym.alpha- Fucosidase	+
[].Physiology and metabolism.API zym.alpha- Fucosidase	+/-
[].Physiology and metabolism.API zym.alpha- Fucosidase	-
[].Physiology and metabolism.API zym.alpha- Galactosidase	+
[].Physiology and metabolism.API zym.alpha- Galactosidase	+/-
[].Physiology and metabolism.API zym.alpha- Galactosidase	-
[].Safety information.risk assessment.[].biosafety level	1
[].Safety information.risk assessment.[].biosafety level	L1
[].Safety information.risk assessment.[].biosafety level	3**
[].Safety information.risk assessment.[].biosafety level	2
[].Safety information.risk assessment.[].biosafety level	3
[].Safety information.risk assessment.[].biosafety level	1+
[].External links.literature.topic	Genetics
[].External links.literature.topic	Pathogenicity
[].External links.literature.topic	Cultivation
[].External links.literature.topic	Metabolism
[].External links.literature.topic	Physiology
[].External links.literature.topic	Phenotype
[].External links.literature.topic	Proteome
[].External links.literature.topic	Biotechnology
[].External links.literature.topic	Phylogeny
[].External links.literature.topic	Enzymology
[].External links.literature.topic	Stress
[].External links.literature.topic	Transcriptome
[].Physiology and metabolism.antibiotic resistance.[].is sensitive	no
[].Physiology and metabolism.antibiotic resistance.[].is sensitive	yes
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	obligate aerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	anaerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	microaerophile
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	facultative aerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	facultative anaerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	aerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	obligate anaerobe
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	aerotolerant
[].Physiology and metabolism.oxygen tolerance.[].oxygen tolerance	microaerotolerant
[].Safety information.risk assessment.[].biosafety level comment	German classification
[].Safety information.risk assessment.[].biosafety level comment	Risk group (French classification)
[].Safety information.risk assessment.[].biosafety level comment	Risk group (german classification)
[].Safety information.risk assessment.[].biosafety level comment	Risk group (German classification)
[].Safety information.risk assessment.[].biosafety level comment	risk group (German classification)
[].Safety information.risk assessment.[].biosafety level comment	Hazard group
[].Safety information.risk assessment.[].biosafety level comment	Hazard group (German classification)
[].Safety information.risk assessment.[].biosafety level comment	hazard group
[].Safety information.risk assessment.[].biosafety level comment	Risk group
[].Physiology and metabolism.API zym.Control	+/-
[].Physiology and metabolism.API zym.Control	+
[].Physiology and metabolism.API zym.Control	-
[].External links.literature.topic2	Transcriptome
[].External links.literature.topic2	Phylogeny
[].External links.literature.topic2	Biotechnology
[].External links.literature.topic2	Genetics
[].External links.literature.topic2	Physiology
[].External links.literature.topic2	Cultivation
[].External links.literature.topic2	Metabolism
[].External links.literature.topic2	Stress
[].External links.literature.topic2	Proteome
[].External links.literature.topic2	Pathogenicity
[].External links.literature.topic2	Phenotype
[].External links.literature.topic2	Enzymology
[].Physiology and metabolism.metabolite tests.[].voges-proskauer-test	+
[].Physiology and metabolism.metabolite tests.[].voges-proskauer-test	+/-
[].Physiology and metabolism.metabolite tests.[].voges-proskauer-test	-
[].Morphology.multicellular morphology.[].forms multicellular complex	yes
[].Morphology.multicellular morphology.[].forms multicellular complex	no
[].General.NCBI tax id.[].Matching level	species
[].General.NCBI tax id.[].Matching level	strain
[].General.NCBI tax id.[].Matching level	subspecies
[].Sequence information.GC content.[].method	Thermal denaturation, fluorometry
[].Sequence information.GC content.[].method	genome sequence analysis
[].Sequence information.GC content.[].method	fluorimetric
[].Sequence information.GC content.[].method	high performance liquid chromatography (HPLC)
[].Sequence information.GC content.[].method	capillary zone electrophoresis (CZE)
[].Sequence information.GC content.[].method	real time PCR (RTD-PCR)
[].Sequence information.GC content.[].method	thermal denaturation, midpoint method (Tm)
[].Sequence information.GC content.[].method	sequence analysis
[].Sequence information.GC content.[].method	paper chromatography
[].Sequence information.GC content.[].method	Buoyant density centrifugation (BD)
[].Sequence information.GC content.method	sequence analysis
[].Sequence information.GC content.method	genome sequence analysis
[].Sequence information.GC content.method	Buoyant density centrifugation (BD)
[].Sequence information.GC content.method	Thermal denaturation, fluorometry
[].Sequence information.GC content.method	fluorimetric
[].Sequence information.GC content.method	capillary zone electrophoresis (CZE)
[].Sequence information.GC content.method	thermal denaturation, midpoint method (Tm)
[].Sequence information.GC content.method	paper chromatography
[].Sequence information.GC content.method	high performance liquid chromatography (HPLC)
[].Sequence information.GC content.method	real time PCR (RTD-PCR)
[].Physiology and metabolism.metabolite tests.indole test	+
[].Physiology and metabolism.metabolite tests.indole test	-
[].Physiology and metabolism.antibiotic resistance.[].is resistant	yes
[].Physiology and metabolism.antibiotic resistance.[].is resistant	no
[].Physiology and metabolism.API 50CHac.XLT	+
[].Physiology and metabolism.API 50CHac.XLT	+/-
[].Physiology and metabolism.API 50CHac.XLT	-
[].Physiology and metabolism.API 50CHac.TUR	+/-
[].Physiology and metabolism.API 50CHac.TUR	-
[].Physiology and metabolism.API 50CHac.TUR	+
[].Physiology and metabolism.API 50CHac.TRE	+
[].Physiology and metabolism.API 50CHac.TRE	+/-
[].Physiology and metabolism.API 50CHac.TRE	-
[].Physiology and metabolism.API 50CHac.TAG	+/-
[].Physiology and metabolism.API 50CHac.TAG	+
[].Physiology and metabolism.API 50CHac.TAG	-
[].Physiology and metabolism.API 50CHac.SOR	+/-
[].Physiology and metabolism.API 50CHac.SOR	-
[].Physiology and metabolism.API 50CHac.SOR	+
[].Physiology and metabolism.API 50CHac.SBE	+/-
[].Physiology and metabolism.API 50CHac.SBE	-
[].Physiology and metabolism.API 50CHac.SBE	+
[].Physiology and metabolism.API 50CHac.SAL	+/-
[].Physiology and metabolism.API 50CHac.SAL	-
[].Physiology and metabolism.API 50CHac.SAL	+
[].Physiology and metabolism.API 50CHac.RHA	-
[].Physiology and metabolism.API 50CHac.RHA	+/-
[].Physiology and metabolism.API 50CHac.RHA	+
[].Physiology and metabolism.API 50CHac.RAF	-
[].Physiology and metabolism.API 50CHac.RAF	+/-
[].Physiology and metabolism.API 50CHac.RAF	+
[].Physiology and metabolism.API 50CHac.NAG	+/-
[].Physiology and metabolism.API 50CHac.NAG	-
[].Physiology and metabolism.API 50CHac.NAG	+
[].Physiology and metabolism.API 50CHac.MNE	+/-
[].Physiology and metabolism.API 50CHac.MNE	-
[].Physiology and metabolism.API 50CHac.MNE	+
[].Physiology and metabolism.API 50CHac.MLZ	+
[].Physiology and metabolism.API 50CHac.MLZ	+/-
[].Physiology and metabolism.API 50CHac.MLZ	-
[].Physiology and metabolism.API 50CHac.MEL	+/-
[].Physiology and metabolism.API 50CHac.MEL	-
[].Physiology and metabolism.API 50CHac.MEL	+
[].Physiology and metabolism.API 50CHac.MDX	+/-
[].Physiology and metabolism.API 50CHac.MDX	-
[].Physiology and metabolism.API 50CHac.MDX	+
[].Physiology and metabolism.API 50CHac.MDM	+
[].Physiology and metabolism.API 50CHac.MDM	+/-
[].Physiology and metabolism.API 50CHac.MDM	-
[].Physiology and metabolism.API 50CHac.MDG	+/-
[].Physiology and metabolism.API 50CHac.MDG	+
[].Physiology and metabolism.API 50CHac.MDG	-
[].Physiology and metabolism.API 50CHac.MAN	+
[].Physiology and metabolism.API 50CHac.MAN	+/-
[].Physiology and metabolism.API 50CHac.MAN	-
[].Physiology and metabolism.API 50CHac.MAL	+/-
[].Physiology and metabolism.API 50CHac.MAL	-
[].Physiology and metabolism.API 50CHac.MAL	+
[].Physiology and metabolism.API 50CHac.LYX	+/-
[].Physiology and metabolism.API 50CHac.LYX	-
[].Physiology and metabolism.API 50CHac.LYX	+
[].Physiology and metabolism.API 50CHac.LXYL	+
[].Physiology and metabolism.API 50CHac.LXYL	+/-
[].Physiology and metabolism.API 50CHac.LXYL	-
[].Physiology and metabolism.API 50CHac.LFUC	-
[].Physiology and metabolism.API 50CHac.LFUC	+/-
[].Physiology and metabolism.API 50CHac.LFUC	+
[].Physiology and metabolism.API 50CHac.LARL	+
[].Physiology and metabolism.API 50CHac.LARL	+/-
[].Physiology and metabolism.API 50CHac.LARL	-
[].Physiology and metabolism.API 50CHac.LARA	+/-
[].Physiology and metabolism.API 50CHac.LARA	-
[].Physiology and metabolism.API 50CHac.LARA	+
[].Physiology and metabolism.API 50CHac.LAC	+/-
[].Physiology and metabolism.API 50CHac.LAC	-
[].Physiology and metabolism.API 50CHac.LAC	+
[].Physiology and metabolism.API 50CHac.INU	+/-
[].Physiology and metabolism.API 50CHac.INU	-
[].Physiology and metabolism.API 50CHac.INU	+
[].Physiology and metabolism.API 50CHac.INO	-
[].Physiology and metabolism.API 50CHac.INO	+/-
[].Physiology and metabolism.API 50CHac.INO	+
[].Physiology and metabolism.API 50CHac.GNT	+/-
[].Physiology and metabolism.API 50CHac.GNT	+
[].Physiology and metabolism.API 50CHac.GNT	-
[].Physiology and metabolism.API 50CHac.GLYG	+
[].Physiology and metabolism.API 50CHac.GLYG	-
[].Physiology and metabolism.API 50CHac.GLYG	+/-
[].Physiology and metabolism.API 50CHac.GLY	+/-
[].Physiology and metabolism.API 50CHac.GLY	-
[].Physiology and metabolism.API 50CHac.GLY	+
[].Physiology and metabolism.API 50CHac.GLU	+/-
[].Physiology and metabolism.API 50CHac.GLU	-
[].Physiology and metabolism.API 50CHac.GLU	+
[].Physiology and metabolism.API 50CHac.GAL	+/-
[].Physiology and metabolism.API 50CHac.GAL	-
[].Physiology and metabolism.API 50CHac.GAL	+
[].Physiology and metabolism.API 50CHac.FRU	+
[].Physiology and metabolism.API 50CHac.FRU	-
[].Physiology and metabolism.API 50CHac.FRU	+/-
[].Physiology and metabolism.API 50CHac.ESC	+/-
[].Physiology and metabolism.API 50CHac.ESC	-
[].Physiology and metabolism.API 50CHac.ESC	+
[].Physiology and metabolism.API 50CHac.ERY	-
[].Physiology and metabolism.API 50CHac.ERY	+
[].Physiology and metabolism.API 50CHac.ERY	+/-
[].Physiology and metabolism.API 50CHac.DXYL	+/-
[].Physiology and metabolism.API 50CHac.DXYL	-
[].Physiology and metabolism.API 50CHac.DXYL	+
[].Physiology and metabolism.API 50CHac.DUL	+/-
[].Physiology and metabolism.API 50CHac.DUL	-
[].Physiology and metabolism.API 50CHac.DUL	+
[].Physiology and metabolism.API 50CHac.DFUC	+
[].Physiology and metabolism.API 50CHac.DFUC	+/-
[].Physiology and metabolism.API 50CHac.DFUC	-
[].Physiology and metabolism.API 50CHac.DARL	+/-
[].Physiology and metabolism.API 50CHac.DARL	+
[].Physiology and metabolism.API 50CHac.DARL	-
[].Physiology and metabolism.API 50CHac.DARA	+
[].Physiology and metabolism.API 50CHac.DARA	+/-
[].Physiology and metabolism.API 50CHac.DARA	-
[].Physiology and metabolism.API 50CHac.CEL	-
[].Physiology and metabolism.API 50CHac.CEL	+/-
[].Physiology and metabolism.API 50CHac.CEL	+
[].Physiology and metabolism.API 50CHac.ARB	-
[].Physiology and metabolism.API 50CHac.ARB	+/-
[].Physiology and metabolism.API 50CHac.ARB	+
[].Physiology and metabolism.API 50CHac.AMY	+/-
[].Physiology and metabolism.API 50CHac.AMY	+
[].Physiology and metabolism.API 50CHac.AMY	-
[].Physiology and metabolism.API 50CHac.AMD	+/-
[].Physiology and metabolism.API 50CHac.AMD	+
[].Physiology and metabolism.API 50CHac.AMD	-
[].Physiology and metabolism.API 50CHac.ADO	+/-
[].Physiology and metabolism.API 50CHac.ADO	-
[].Physiology and metabolism.API 50CHac.ADO	+
[].Physiology and metabolism.API 50CHac.2KG	+
[].Physiology and metabolism.API 50CHac.2KG	+/-
[].Physiology and metabolism.API 50CHac.2KG	-
[].Physiology and metabolism.API 50CHac.SAC	+/-
[].Physiology and metabolism.API 50CHac.SAC	+
[].Physiology and metabolism.API 50CHac.SAC	-
[].Physiology and metabolism.API 50CHac.RIB	+/-
[].Physiology and metabolism.API 50CHac.RIB	-
[].Physiology and metabolism.API 50CHac.RIB	+
[].Physiology and metabolism.API 50CHac.GEN	+/-
[].Physiology and metabolism.API 50CHac.GEN	-
[].Physiology and metabolism.API 50CHac.GEN	+
[].Physiology and metabolism.API 50CHac.5KG	+
[].Physiology and metabolism.API 50CHac.5KG	+/-
[].Physiology and metabolism.API 50CHac.5KG	-
[].Morphology.multicellular morphology.forms multicellular complex	yes
[].Morphology.multicellular morphology.forms multicellular complex	no
[].Physiology and metabolism.metabolite tests.[].indole test	+
[].Physiology and metabolism.metabolite tests.[].indole test	-
[].Physiology and metabolism.fatty acid profile.type of FA analysis	whole cell analysis
[].Morphology.cell morphology.[].gram stain	negative
[].Morphology.cell morphology.[].gram stain	positive
[].Morphology.cell morphology.[].gram stain	variable
[].Physiology and metabolism.spore formation.spore formation	no
[].Physiology and metabolism.spore formation.spore formation	yes
[].Morphology.cell morphology.[].motility	no
[].Morphology.cell morphology.[].motility	yes
[].Sequence information.Genome sequences.database	img
[].Sequence information.Genome sequences.database	ncbi
[].Sequence information.Genome sequences.database	patric
[].Sequence information.Genome sequences.assembly level	plasmid
[].Sequence information.Genome sequences.assembly level	scaffold
[].Sequence information.Genome sequences.assembly level	chromosome
[].Sequence information.Genome sequences.assembly level	contig
[].Sequence information.Genome sequences.assembly level	wgs
[].Sequence information.Genome sequences.assembly level	complete
[].Sequence information.Genome sequences.assembly level	draft
[].Physiology and metabolism.metabolite tests.voges-proskauer-test	+/-
[].Physiology and metabolism.metabolite tests.voges-proskauer-test	-
[].Physiology and metabolism.metabolite tests.voges-proskauer-test	+
[].Physiology and metabolism.antibiotic resistance.is antibiotic	yes
[].Morphology.pigmentation.production	yes
[].Morphology.pigmentation.production	no
[].Culture and growth conditions.culture pH.[].PH range	acidophile
[].Culture and growth conditions.culture pH.[].PH range	alkaliphile
[].Physiology and metabolism.antibiotic resistance.is resistant	yes
[].Physiology and metabolism.antibiotic resistance.is resistant	no
[].Physiology and metabolism.API biotype100.TTE	+
[].Physiology and metabolism.API biotype100.TTE	-
[].Physiology and metabolism.API biotype100.TRY	-
[].Physiology and metabolism.API biotype100.TRY	+
[].Physiology and metabolism.API biotype100.TRE	-
[].Physiology and metabolism.API biotype100.TRE	+
[].Physiology and metabolism.API biotype100.TATE	-
[].Physiology and metabolism.API biotype100.TATE	+
[].Physiology and metabolism.API biotype100.SOR	+
[].Physiology and metabolism.API biotype100.SOR	-
[].Physiology and metabolism.API biotype100.SAT	-
[].Physiology and metabolism.API biotype100.SAT	+
[].Physiology and metabolism.API biotype100.SAC	-
